顧客名,TEL,Mail,住所（都道府県+市区町村）,住所（番地・建物）,担当,ステータス,登録日
山田 太郎,090-1234-5678,taro.yamada@example.com,東京都新宿区,西新宿2-8-1,佐藤,new,2025/01/10
佐藤 花子,08012345678,hanako.sato@EXAMPLE.com,東京都港区,芝公園4-2-8,鈴木,active,2025-01-12
株式会社ABC商事,03-1234-0000,info@abc.co.jp,東京都中央区,銀座1-2-3,田中,active,2025/01/15
田中 一郎,090 1111 2222,ichiro.tanaka@example.jp,神奈川県横浜市西区,みなとみらい2-3-5,佐藤,new,2025/01/20
鈴木 次郎,090-3333-4444,,大阪府大阪市北区,梅田1-1-1,高橋,inactive,2025/02/01
高橋 まゆ,070-9876-5432,mayu.takahashi@example.com,福岡県福岡市博多区,博多駅前1-1-1  3F,田中,new,2025/02/05
伊藤 健,09044445555,ken.ito@example.com,宮城県仙台市青葉区,一番町2-3-4,佐藤,active,2025/02/10
小林 美咲,090-7777-8888,misaki.kobayashi@example.com,愛知県名古屋市中区,栄3-4-5,鈴木,new,2025/02/12
株式会社サンプル製作所,06-1234-5678,contact@sample.co.jp,大阪府大阪市淀川区,西中島5-6-7,高橋,active,2025/02/15
山田 太郎,09012345678,TARO.YAMADA@EXAMPLE.COM,東京都新宿区,西新宿2-8-1,佐藤,active,2025/02/20
佐藤 花子,080-1234-5678,hanako.sato@example.com,東京都港区,芝公園4-2-8,鈴木,active,2025/02/21
株式会社ＡＢＣ商事,03 1234 0000,info@abc.co.jp,東京都中央区,銀座1-2-3,田中,active,2025/02/22
田中 一郎,09011112222,,神奈川県横浜市西区,みなとみらい２−３−５,佐藤,new,2025/02/23
高橋 まゆ,07098765432,mayu.takahashi@example.com,福岡県福岡市博多区,博多駅前1-1-1 3F,田中,new,2025/02/24
伊藤  健,090-4444-5555, ken.ito@example.com ,宮城県仙台市青葉区,一番町2-3-4,佐藤,active,2025/02/25
小林美咲,09077778888,misaki.kobayashi@example.com,愛知県名古屋市中区,栄3-4-5,鈴木,new,2025/02/26
鈴木 次郎,090-3333-4444,suzuki.jiro@example.com,大阪府大阪市北区,梅田1-1-1,高橋,active,2025/03/01
合同会社テスト,0312349999,info@test.co.jp,東京都新宿区,西新宿2-8-1,佐藤,new,2025/03/02
渡辺 恒一,090-0000-0000,invalid-email,北海道札幌市中央区,北1条西2丁目,田中,new,2025/13/40
中村 玲奈,,reina.nakamura@example.com,東京都渋谷区,渋谷1-2-3,鈴木,new,
